"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Local Educativo Priorizado (preliminar)"
"060101","CAJAMARCA","059929","CORAZON DE JESUS","Pública de gestión directa",41,8,"NA",-78.556953,-6.94439,"No"
"060101","CAJAMARCA","060193","LA CATOLICA","Privada",30,3,"NA",-78.52042,-7.15656,"No"
"060101","CAJAMARCA","093631","JUANA ALARCO DE DAMMERT","Pública de gestión directa",316,15,"NA",-78.52317,-7.15599,"Sí"
"060101","CAJAMARCA","093674","016 SARA MC DOUGALL","Pública de gestión directa",333,14,"NA",-78.52094,-7.15147,"Sí"
"060101","CAJAMARCA","093688","017","Pública de gestión directa",230,11,"NA",-78.512496,-7.154227,"No"
"060101","CAJAMARCA","093693","021","Pública de gestión directa",70,3,"NA",-78.469845,-7.220383,"No"
"060101","CAJAMARCA","093706","82028","Pública de gestión directa",779,32,"NA",-78.525455,-7.141417,"Sí"
"060101","CAJAMARCA","093711","025","Pública de gestión directa",129,6,"NA",-78.523519,-7.146584,"No"
"060101","CAJAMARCA","093725","028 SANTA ELENA","Pública de gestión directa",201,9,"NA",-78.51406,-7.17017,"No"
"060101","CAJAMARCA","093730","042","Pública de gestión directa",11,1,"NA",-78.504222,-7.220088,"No"
"060101","CAJAMARCA","093749","052 VIRGEN DE FATIMA","Pública de gestión directa",123,5,"NA",-78.51527,-7.16115,"No"
"060101","CAJAMARCA","093773","064 MARIA PARADO DE BELLIDO","Pública de gestión directa",144,6,"NA",-78.51484,-7.15173,"No"
"060101","CAJAMARCA","093787","071","Pública de gestión directa",59,3,"NA",-78.485865,-7.213441,"No"
"060101","CAJAMARCA","093805","82554 INMACULADA CONCEPCION","Pública de gestión directa",421,17,"NA",-78.503635,-7.164764,"Sí"
"060101","CAJAMARCA","093810","096","Pública de gestión directa",153,6,"NA",-78.518035,-7.151193,"No"
"060101","CAJAMARCA","093834","099","Pública de gestión directa",217,9,"NA",-78.508387,-7.176125,"No"
"060101","CAJAMARCA","093848","100","Pública de gestión directa",100,5,"NA",-78.51169,-7.15852,"No"
"060101","CAJAMARCA","093853","HNO. VICTORINO ELORZ GOICOECHEA","Pública de gestión directa",496,27,"NA",-78.511999,-7.160513,"Sí"
"060101","CAJAMARCA","093867","105 PACHACUTEC","Pública de gestión directa",253,12,"NA",-78.521315,-7.164583,"No"
