"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Priorizado (preliminar)"
"130102","EL PORVENIR","058722","PIERRE SIMON LAPLACE COLLEGE","Privada",232,11,"NA",-79.00439,-8.08537,"No"
"130102","EL PORVENIR","250348","82050 HUERTA BELLA","Pública de gestión directa",272,10,"NA",-79.0011,-8.08828,"No"
"130102","EL PORVENIR","252644","1562 NUEVO HORIZONTE","Pública de gestión directa",297,12,"NA",-78.98944,-8.07149,"No"
"130102","EL PORVENIR","252658","1563 NUEVO MILENIO","Pública de gestión directa",71,3,"NA",-78.99316,-8.08378,"No"
"130102","EL PORVENIR","252663","1566 EL PILOTO","Pública de gestión directa",370,20,"NA",-79.00207,-8.08256,"Sí"
"130102","EL PORVENIR","252677","1579 CORAZON DEL NIÑO JESUS","Pública de gestión directa",373,15,"NA",-79.00818,-8.07578,"Sí"
"130102","EL PORVENIR","252682","1580 GERARDO KUPPENS","Pública de gestión directa",260,12,"NA",-78.9965,-8.075,"No"
"130102","EL PORVENIR","252696","1581 MI NIÑO DIOS","Pública de gestión directa",29,2,"NA",-78.99365,-8.08587,"No"
"130102","EL PORVENIR","252700","80026 HORACIO ZEVALLOS GAMEZ","Pública de gestión directa",1534,61,"NA",-78.99584,-8.08442,"Sí"
"130102","EL PORVENIR","252719","80027 JOSE ABELARDO QUIÑONES GONZALES","Pública de gestión directa",855,32,"NA",-78.998235,-8.076725,"Sí"
"130102","EL PORVENIR","252724","80028 FRANCISCO DE ZELA","Pública de gestión directa",635,29,"NA",-78.99286,-8.08362,"Sí"
"130102","EL PORVENIR","252738","80029 MARIANO MELGAR","Pública de gestión directa",541,25,"NA",-78.99311,-8.08791,"Sí"
"130102","EL PORVENIR","252743","80030 VICTOR RAUL HAYA DE LA TORRE","Pública de gestión directa",1045,48,"NA",-79.00876,-8.08588,"Sí"
