"IDDIST";"DISTRITO";"Código de Local Educativo";"Nombre de Local Educativo";"Gestión";"Número de Estudiantes";"Número de Docentes";"Siniestros Fatales Registrados";"Longitud";"Latitud";"Local Educativo Priorizado (preliminar)"
"150128";"RIMAC";"171902";"LAS GOLONDRINAS";"Privada";24;3;"NA";-77.03409;-12.00476;"No"
"150128";"RIMAC";"290090";"ALBERT EINSTEIN - RIMAC";"Privada";134;12;"NA";-77.028;-12.0181;"No"
"150128";"RIMAC";"305652";"0005";"Pública de gestión directa";187;9;"NA";-77.04895;-12.0132;"No"
"150128";"RIMAC";"320474";"RICARDO BENTIN";"Pública de gestión directa";161;29;"1";-77.03003;-12.03479;"Sí"
"150128";"RIMAC";"320488";"049 NUESTRA SEÑORA DE GUADALUPE";"Pública de gestión directa";441;20;"NA";-77.0315;-12.03037;"Sí"
"150128";"RIMAC";"320493";"0072 SANTA ROSITA DE LIMA";"Pública de gestión directa";284;13;"NA";-77.03172;-12.03902;"No"
"150128";"RIMAC";"320501";"0320";"Pública de gestión directa";295;13;"NA";-77.030832;-12.016013;"No"
"150128";"RIMAC";"320515";"0325";"Pública de gestión directa";64;5;"NA";-77.03717;-12.03382;"No"
"150128";"RIMAC";"320520";"340 NIÑO JESUS MARISCAL CHAPERITO";"Pública de gestión directa";175;11;"NA";-77.02631;-12.02895;"No"
"150128";"RIMAC";"320539";"0389";"Pública de gestión directa";278;13;"NA";-77.02804;-12.03981;"No"
"150128";"RIMAC";"320544";"391-1 FLOR DE AMANCAES";"Pública de gestión directa";351;14;"NA";-77.03323;-12.01057;"Sí"
"150128";"RIMAC";"320558";"0391-2 SAN JUAN DE AMANCAES";"Pública de gestión directa";373;17;"NA";-77.0268;-12.016;"Sí"
"150128";"RIMAC";"320577";"0392-2 MADRID";"Pública de gestión directa";120;9;"NA";-77.03059;-12.02968;"No"
"150128";"RIMAC";"320582";"0392-3 SAN CRISTOBAL";"Pública de gestión directa";908;36;"NA";-77.02269;-12.03695;"Sí"
"150128";"RIMAC";"320596";"2001 TENIENTE CORONEL ALFREDO BONIFAZ";"Pública de gestión directa";1686;84;"1";-77.03964;-12.02621;"Sí"
"150128";"RIMAC";"320600";"2099 PATRICIA ROSA MERINO";"Pública de gestión directa";1511;62;"2";-77.02953;-12.03063;"Sí"
"150128";"RIMAC";"320619";"RICARDO BENTIN";"Pública de gestión directa";2881;162;"NA";-77.03694;-12.0304;"Sí"
"150128";"RIMAC";"320624";"NACIONAL RIMAC";"Pública de gestión directa";1085;54;"NA";-77.03552;-12.01898;"Sí"
"150128";"RIMAC";"320638";"2002 MARISCAL RAMON CASTILLA";"Pública de gestión directa";756;29;"NA";-77.03184;-12.01641;"Sí"
"150128";"RIMAC";"320643";"2004";"Pública de gestión directa";260;10;"NA";-77.01868;-12.03823;"No"
"150128";"RIMAC";"320657";"2063 CORONEL JOSE FELIX BOGADO";"Pública de gestión directa";1165;45;"NA";-77.02612;-12.01485;"Sí"
"150128";"RIMAC";"320662";"MARIA PARADO DE BELLIDO";"Pública de gestión directa";2337;104;"NA";-77.028075;-12.029525;"Sí"
"150128";"RIMAC";"320676";"2083 VIRGEN DEL CARMEN";"Pública de gestión directa";1182;43;"NA";-77.0315;-12.0307;"Sí"
"150128";"RIMAC";"320681";"3001 ESTADOS UNIDOS MEXICANOS";"Pública de gestión directa";434;17;"NA";-77.02807;-12.03949;"Sí"
"150128";"RIMAC";"320695";"3002-A MANUEL PARDO";"Pública de gestión directa";373;15;"NA";-77.0317;-12.0396;"Sí"
"150128";"RIMAC";"320704";"3004 ESPAÑA";"Pública de gestión directa";745;33;"NA";-77.0268;-12.0367;"Sí"
"150128";"RIMAC";"320718";"3016 RICARDO QUIMPER";"Pública de gestión directa";294;19;"NA";-77.02952;-12.03647;"No"
"150128";"RIMAC";"320723";"3006 JOSE ERNESTO ECHENIQUE RODRIGUEZ";"Pública de gestión directa";465;22;"NA";-77.015;-12.03736;"Sí"
"150128";"RIMAC";"320756";"3010 RAMON CASTILLA";"Pública de gestión directa";641;32;"NA";-77.03897;-12.03648;"Sí"
"150128";"RIMAC";"320761";"3012 JESUS DIVINO MAESTRO";"Pública de gestión directa";315;16;"NA";-77.02685;-12.02158;"Sí"
"150128";"RIMAC";"320775";"3013";"Pública de gestión directa";398;19;"NA";-77.04145;-12.0375;"Sí"
"150128";"RIMAC";"320780";"3015 LOS ANGELES DE JESUS";"Pública de gestión directa";879;39;"NA";-77.026933;-12.023383;"Sí"
"150128";"RIMAC";"320799";"3017 INMACULADA CONCEPCION";"Pública de gestión directa";1101;45;"NA";-77.03202;-12.01641;"Sí"
"150128";"RIMAC";"320817";"3019 PATRICIA TERESA RODRIGUEZ";"Pública de gestión directa";529;24;"NA";-77.02494;-12.02403;"Sí"
"150128";"RIMAC";"320822";"3021 SAN JUAN MACIAS";"Pública de gestión directa";557;30;"NA";-77.029;-12.0392;"Sí"
"150128";"RIMAC";"320836";"3075 PATRICIA FRANCISCA SILVA DE PAGADOR";"Pública de gestión directa";525;22;"NA";-77.03275;-12.01119;"Sí"
"150128";"RIMAC";"320841";"LUCIE RYNNING DE ANTUNEZ DE MAYOLO";"Pública de gestión directa";589;31;"NA";-77.0264;-12.0356;"Sí"
"150128";"RIMAC";"320855";"3014 LEONCIO PRADO";"Pública de gestión directa";1040;50;"2";-77.03026;-12.02996;"Sí"
"150128";"RIMAC";"320860";"CARLOS PAREJA PAZ SOLDAN";"Pública de gestión directa";333;26;"NA";-77.02362;-12.03636;"Sí"
"150128";"RIMAC";"320879";"ESTHER CACERES SALGADO";"Pública de gestión directa";1229;71;"NA";-77.03107;-12.03029;"Sí"
"150128";"RIMAC";"320884";"VIRGEN DE FATIMA";"Pública de gestión directa";91;6;"NA";-77.03137;-12.03442;"No"
"150128";"RIMAC";"320916";"DORA MAYER DE ZULEN";"Privada";232;20;"NA";-77.03435;-12.02727;"No"
