"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"317589","SANTA RITA DE CASIA",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",604,49,NA,-77.00854,-12.12902,"Priorizada"
"340127","555 INMACULADA CONCEPCION",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",311,14,NA,-76.98864,-12.15571,"Priorizada"
"340151","6043 PEDRO VENTURO",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",669,43,NA,-76.99059,-12.12421,"Priorizada"
"340165","6044 JORGE CHAVEZ",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",1206,71,NA,-77.00457,-12.14332,"Priorizada"
"340170","6047 JOSE MARIA ARGUEDAS",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",1424,75,NA,-76.98972,-12.14896,"Priorizada"
"340189","6082 LOS PROCERES",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",1840,93,NA,-76.98486,-12.15068,"Priorizada"
"340194","6087 PABLO MARIA GUZMAN",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",576,34,NA,-76.96393,-12.09525,"Priorizada"
"340207","7058 MARIA DE FATIMA",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",632,30,NA,-77.00426,-12.14506,"Priorizada"
"340212","7068 ABRAHAM ROLDAN POMA",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",313,12,NA,-77.0078,-12.14689,"Priorizada"
"340226","7068 ABRAHAM ROLDAN POMA",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",620,29,NA,-77.0061,-12.14561,"Priorizada"
"340231","7086 LOS PRECURSORES",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",1986,85,NA,-76.9858,-12.15677,"Priorizada"
"340245","086",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",318,14,NA,-77.00405,-12.14468,"Priorizada"
"340250","87 CORAZON DE MARIA",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",430,18,NA,-76.98664,-12.15392,"Priorizada"
"340269","MONTERRICO INSTITUCION EDUCATIVA APLICACION",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",373,66,NA,-76.97747,-12.12304,"Priorizada"
"340325","7087 SANTIAGO DE SURCO",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",461,23,NA,-76.983364,-12.143777,"Priorizada"
"340330","PNP CAP. ALCIDES VIGO HURTADO",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",634,42,NA,-76.99421,-12.12264,"Priorizada"
"340387","ANDRE MALRAUX",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",375,42,NA,-76.97922,-12.12482,"Priorizada"
"340434","AUGUSTO WEBERBAUER",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",677,69,NA,-76.9678,-12.09486,"Priorizada"
"340622","CRISTO SALVADOR",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",767,67,NA,-76.99563,-12.12681,"Priorizada"
"340783","FRANCO PERUANO",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",696,41,1,-76.97756,-12.11802,"Priorizada"
"340801","GOTITAS DE CRISTAL",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",33,3,1,-77.00955,-12.14778,"Priorizada"
"340815","HANS CHRISTIAN ANDERSEN",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",631,41,NA,-76.97669,-12.11451,"Priorizada"
"340839","HIRAM BINGHAM",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",620,86,NA,-77.00589,-12.13834,"Priorizada"
"340844","HORACIO PATIÑO CRUZATTI",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",622,46,NA,-76.98582,-12.13197,"Priorizada"
"340962","COLEGIO DE LA INMACULADA (JESUITAS)",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",1488,160,NA,-76.97277,-12.13024,"Priorizada"
"340976","LA INMACULADA CONCEPCION",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",1467,86,NA,-76.99928,-12.12794,"Priorizada"
"341103","MAGISTER",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",509,49,NA,-76.97758,-12.10407,"Priorizada"
"341117","TECNICO FAP MANUEL POLO JIMENEZ",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Pública de gestión directa",2168,173,NA,-77.01345,-12.14583,"Priorizada"
"341198","MARKHAM",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",1175,90,NA,-76.976445,-12.100516,"Priorizada"
"341216","MATER CHRISTI",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",473,51,NA,-76.98245,-12.12488,"Priorizada"
"341339","CHAMPAGNAT",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",1701,136,NA,-77.00018,-12.14356,"Priorizada"
"341382","NUEVO MUNDO",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",409,24,NA,-76.99456,-12.12289,"Priorizada"
"341476","PERUANO BRITANICO",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",897,96,NA,-76.97345,-12.09255,"Priorizada"
"341508","PIO XII",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",368,56,NA,-76.96535,-12.0979,"Priorizada"
"341532","REGINA PACIS",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",650,55,NA,-76.96992,-12.11012,"Priorizada"
"341612","SAN ANTONIO S.A.C.",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",122,7,1,-76.99472,-12.12858,"Priorizada"
"341631","SAN BENITO DE PALERMO",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",350,30,NA,-76.98875,-12.15057,"Priorizada"
"341674","SAN JOSE DE MONTERRICO",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",986,97,NA,-76.96776,-12.10991,"Priorizada"
"341730","SAN ROQUE",150140,"LIMA","LIMA","SANTIAGO DE SURCO","Privada",340,27,NA,-76.98878,-12.14834,"Priorizada"
